Author,Title,ISBN,Genre
J.R.R. Tolkien,The Fellowship of the Ring,978-0261102354,Fantasy
J.R.R. Tolkien,The Two Towers,978-0261102361,Fantasy
George R.R. Martin,A Game of Thrones,978-0553103540,Fantasy
George R.R. Martin,A Clash of Kings,978-0553108033,Fantasy
Brandon Sanderson,The Way of Kings,978-0765326355,Fantasy
Brandon Sanderson,Words of Radiance,978-0765326362,Fantasy
Ursula K. Le Guin,A Wizard of Earthsea,978-0547773742,Fantasy
Ursula K. Le Guin,The Tombs of Atuan,978-0689300455,Fantasy
Terry Pratchett,The Colour of Magic,978-0861403240,Fantasy
Terry Pratchett,The Light Fantastic,978-0861403241,Fantasy
Isaac Asimov,Foundation,978-0553293357,Science Fiction
Isaac Asimov,Foundation and Empire,978-0553293340,Science Fiction
Frank Herbert,Dune,978-0441172719,Science Fiction
Frank Herbert,Dune Messiah,978-0441172696,Science Fiction
Philip K. Dick,Do Androids Dream of Electric Sheep?,978-0345404473,Science Fiction
Philip K. Dick,Ubik,978-0547572291,Science Fiction
Arthur C. Clarke,2001: A Space Odyssey,978-0451457998,Science Fiction
Arthur C. Clarke,Rendezvous with Rama,978-0441713530,Science Fiction
Ann Leckie,Ancillary Justice,978-0316246620,Science Fiction
Ann Leckie,Ancillary Sword,978-0316246651,Science Fiction
Agatha Christie,Murder on the Orient Express,978-0062073501,Mystery
Agatha Christie,And Then There Were None,978-0062073488,Mystery
Arthur Conan Doyle,A Study in Scarlet,978-1508475095,Mystery
Arthur Conan Doyle,The Hound of the Baskervilles,978-1508475101,Mystery
Raymond Chandler,The Big Sleep,978-0394758282,Mystery
Raymond Chandler,Farewell My Lovely,978-0394758275,Mystery
Louise Penny,Still Life,978-0312948559,Mystery
Louise Penny,A Fatal Grace,978-0312948566,Mystery
Anthony Horowitz,The Word Is Murder,978-0062676788,Mystery
Anthony Horowitz,The Sentence Is Death,978-0062676832,Mystery
Jane Austen,Pride and Prejudice,978-0141439518,Romance
Jane Austen,Sense and Sensibility,978-0141439662,Romance
Julia Quinn,The Duke and I,978-0062353597,Romance
Julia Quinn,The Viscount Who Loved Me,978-0062353603,Romance
Emily Henry,Beach Read,978-1984806734,Romance
Emily Henry,People We Meet on Vacation,978-1984806758,Romance
Taylor Jenkins Reid,The Seven Husbands of Evelyn Hugo,978-1501161933,Romance
Taylor Jenkins Reid,Daisy Jones & The Six,978-1524798628,Romance
Georgette Heyer,Regency Buck,978-1402210341,Romance
Georgette Heyer,The Grand Sophy,978-1402210549,Romance
Stephen King,The Shining,978-0307743657,Thriller
Stephen King,Misery,978-1501156748,Thriller
Gillian Flynn,Gone Girl,978-0307588371,Thriller
Gillian Flynn,Sharp Objects,978-0307341556,Thriller
Lee Child,Killing Floor,978-0425264331,Thriller
Lee Child,Die Trying,978-0425264348,Thriller
Dan Brown,The Da Vinci Code,978-0307474278,Thriller
Dan Brown,Angels & Demons,978-0307474261,Thriller
Paula Hawkins,The Girl on the Train,978-1594634024,Thriller
Paula Hawkins,Into the Water,978-1594634475,Thriller
Ken Follett,The Pillars of the Earth,978-0451225245,Historical Fiction
Ken Follett,World Without End,978-0451224996,Historical Fiction
Philippa Gregory,The Other Boleyn Girl,978-1416560609,Historical Fiction
Philippa Gregory,The White Queen,978-1416563716,Historical Fiction
Markus Zusak,The Book Thief,978-0375842207,Historical Fiction
Markus Zusak,Bridge of Clay,978-0375845598,Historical Fiction
Anthony Doerr,All the Light We Cannot See,978-1501173219,Historical Fiction
Anthony Doerr,Cloud Cuckoo Land,978-1982168438,Historical Fiction
Hilary Mantel,Wolf Hall,978-0312429980,Historical Fiction
Hilary Mantel,Bring Up the Bodies,978-0805090031,Historical Fiction
Malcolm Gladwell,Outliers,978-0316017930,Non-Fiction
Malcolm Gladwell,Blink,978-0316010665,Non-Fiction
Yuval Noah Harari,Sapiens,978-0062316097,Non-Fiction
Yuval Noah Harari,Homo Deus,978-0062464316,Non-Fiction
Bill Bryson,A Short History of Nearly Everything,978-0767908184,Non-Fiction
Bill Bryson,The Body,978-0385539302,Non-Fiction
Michelle Obama,Becoming,978-1524763138,Non-Fiction
Michelle Obama,The Light We Carry,978-0593237465,Non-Fiction
Angela Duckworth,Grit,978-1501111111,Non-Fiction
Angela Duckworth,The Grit Guide for Teens,978-1626253964,Non-Fiction
J.K. Rowling,Harry Potter and the Sorcerer's Stone,978-0439708180,Young Adult
J.K. Rowling,Harry Potter and the Chamber of Secrets,978-0439064873,Young Adult
Suzanne Collins,The Hunger Games,978-0439023528,Young Adult
Suzanne Collins,Catching Fire,978-0439023498,Young Adult
Cassandra Clare,City of Bones,978-1416914280,Young Adult
Cassandra Clare,City of Ashes,978-1416914297,Young Adult
John Green,The Fault in Our Stars,978-0525478812,Young Adult
John Green,Looking for Alaska,978-0142402511,Young Adult
Leigh Bardugo,Shadow and Bone,978-1250027435,Young Adult
Leigh Bardugo,Six of Crows,978-1627792127,Young Adult
